city,cloudiness,country,date_list,humidity,Lat_List,Lng_List,Max_Temp_List,Wind_Speed_List
Laguna,1,US,1623714066,33,38.421,-121.4238,89.6,7.0
Dunedin,100,NZ,1623714066,97,-45.8742,170.5036,49.8,3.0
Nelson Bay,3,AU,1623714066,77,-32.7167,152.15,57.29,1.01
Gao,52,ML,1623714067,11,16.6362,1.637,92.86,7.65
Saint-Paul,36,RE,1623714067,84,-21.0096,55.2707,71.74,9.69
Binzhou,93,CN,1623714068,80,37.3667,118.0167,72.66,13.11
San Quintín,11,MX,1623714068,74,30.4833,-115.95,69.66,13.67
Carballo,64,ES,1623714069,94,43.213,-8.691,68.76,4.68
Várzea Grande,0,BR,1623714069,57,-15.6467,-56.1325,82.27,4.61
Maragogi,37,BR,1623714070,87,-9.0122,-35.2225,75.09,8.75
Rivadavia,100,AR,1623714070,32,-33.1905,-68.4608,48.67,12.19
Hopfgarten,46,DE,1623714070,78,50.9833,11.2667,61.18,3.78
Gimli,2,CA,1623714071,68,50.6336,-96.9907,80.44,1.14
Muros,65,ES,1623714071,80,42.7762,-9.0603,69.84,9.69
Qaqortoq,26,GL,1623714071,86,60.7167,-46.0333,50.5,3.15
Tilichiki,33,RU,1623714072,60,60.4667,166.1,53.82,7.87
Asău,100,RO,1623714072,87,46.4333,26.4,56.32,4.23
Westport,20,US,1623713794,78,41.1415,-73.3579,71.35,3.0
Aketi,31,CD,1623714073,98,2.7388,23.7833,69.3,2.48
Ambanja,28,MG,1623714073,91,-13.6833,48.45,70.45,3.27
Makakilo City,1,US,1623714073,42,21.3469,-158.0858,86.32,13.8
Balabac,94,PH,1623714074,72,7.9868,117.0645,84.31,10.4
Port Blair,100,IN,1623714075,81,11.6667,92.75,82.47,20.62
Soubre,93,CI,1623714075,98,5.7856,-6.6083,73.71,2.86
Gayéri,40,BF,1623714075,43,12.6497,0.4931,88.63,11.79
Zhangaözen,0,KZ,1623714076,63,43.3,52.8,74.23,5.79
Killybegs,64,IE,1623714076,87,54.6333,-8.45,47.44,5.46
Banyo,66,CM,1623714077,98,6.75,11.8167,65.75,4.81
Ulaangom,31,MN,1623714077,52,49.9811,92.0667,54.66,4.29
Kovdor,69,RU,1623714077,93,67.5662,30.4758,46.13,4.29
Caravelas,43,BR,1623714078,67,-17.7125,-39.2481,72.91,8.08
Baft,29,IR,1623714078,16,29.234,56.6057,71.89,1.48
Paralímni,0,CY,1623714079,77,35.0375,33.9833,68.09,1.99
Verkhnevilyuysk,9,RU,1623714079,47,63.4453,120.3167,66.06,3.94
San Patricio,43,US,1623714079,63,28.017,-97.5169,95.72,8.39
